,post_url,comment_num,like_num,post_caption,image_url,labels
0,https://www.instagram.com/p/CHYOgoNLjwD/,157,24098,"Photo by @erintrieb / On Election Day I set up a portrait studio outside a polling station in Houston, Texas, where I asked voters if I could photograph them. It was a heart-warming experience to hear in their own words—and some were first-time voters—what it means to exercise their 15th Amendment right.

Batrice Thomas stands with her son Brandon Allen Jr., 6, outside the NRG polling station in Houston, on November 3. In Batrice’s words: “It took us so long to actually get to vote as women, period. I want my kids to see that we’re trying to make a change and for especially my daughter to see that girls can do the same things that guys do.” For more human stories from around the world follow @erintrieb.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124308164_372255640555606_8702335029107021497_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=nQrFaELu5EQAX_10rWc&tp=18&oh=972ba38ccac3f1c9f763ff6a570fcb8d&oe=5FD26313,"['Hair', 'Face', 'White', 'Black', 'Hairstyle', 'Shoulder', 'Head', 'Eyebrow', 'Black-and-white', 'T-shirt']"
1,https://www.instagram.com/p/CHXl8P8gT0f/,455,83621,"Photo by @tasneemalsultan / A Saudi woman sits at the entrance of her kiosk as visitors peruse her handmade fabrics and handbags at the Taif festival, earlier this year. #Taif #saudiarabia",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124001640_2746927572211986_1918016122261756595_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=1G-uLiYPT9QAX-ITC3l&tp=18&oh=4b07429f8aee9ee4d1c16ca853e276da&oe=5FD1A42A,"['Room', 'Textile', 'Tradition', 'Bazaar', 'Flooring', 'Interior design', 'Carpet', 'City']"
2,https://www.instagram.com/p/CHXXmNpAhHV/,431,184808,"Photo by Keith Ladzinski @ladzinski / A kiss of light illuminates an isolated peak at the foot of Mount Everest on a stormy morning. This mountain is over 7,000 meters (23,000m) tall, dwarfed by the towering giants of the valley.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123875513_391416652271789_5810884742040426719_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=dXc815U6nzQAX8x4p9Q&tp=18&oh=c3769bda35d12e88f1077d89cba73bb7&oe=5FD2B809,"['Mountainous landforms', 'Mountain', 'Sky', 'Mountain range', 'Alps', 'Massif', 'Winter', 'Summit', 'Ridge', 'Snow']"
3,https://www.instagram.com/p/CHXKiRnAshz/,511,106213,"Photo by @dina_litovsky / Most people don’t associate the Amish and Mennonites with leisure, but every winter Amish and Mennonite families from all around the U.S. flock to Pinecraft, a community in Sarasota, Florida, for vacation. The small neighborhood, encompassing about 10 blocks, becomes a busy snowbird capital where different Anabaptist denominations escape the winter and mingle among each other. The usual rules are a bit looser—a blind eye is turned to the use of cell phones, cameras, and bicycles while recreational activities are encouraged. For more images, follow me @dina_litovsky.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124190778_2628569887365444_8357120611562815542_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=7K89QE1VUvoAX8wK4VZ&tp=18&oh=4ba5b10518e35830ecb8039e355f5540&oe=5FD234EB,"['Motor vehicle', 'Vehicle', 'Mode of transport', 'Transport', 'Car', 'Vintage car', 'Tourism', 'Antique car']"
4,https://www.instagram.com/p/CHWudbnoMhb/,554,162146,"Photo by @paoloverzone / Fluorescing a ghostly blue, a stained chicken embryo in Yale paleontologist Bhart-Anjan Bhullar's lab is in line to be examined under a microscope. By tracking how genes orchestrate the patterns of animals’ growing bodies, Bhullar can see the nuts and bolts of development, improving our understanding of dinosaurs and their modern descendants.

Follow @paoloverzone for more photos and stories.

Check out Nat Geo's link in bio for more on this story.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124133299_859591681246282_524690134028701803_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=exSLayy5-1wAX8-c3pl&tp=18&oh=b9f8d27705be21420058ab39f8265dfa&oe=5FD23473,"['Water', 'Blue', 'Liquid', 'Aqua', 'Transparent material', 'Turquoise', 'Glass', 'Liquid bubble', 'Fluid', 'Electric blue']"
5,https://www.instagram.com/p/CHWTJJArjpq/,912,392803,"Photo by @beverlyjoubert / It’s one of the most mesmerizing sounds of the African wild. For the lion, an aural alert shores up the boundaries of territory, a resonating message for kin and foe. For us, a reminder of things untamed, of the might in nature’s beauty. It’s also a sound that’s unique and personal–each roar a distinct vocal signature that companions and neighbors can recognize. To stand by and listen as these iconic cats fall silent is not an option. It’s why we’ve dedicated our lives to ensuring their roars will be heard across Africa for generations to come. #bigcats #lions #bigcatconservation",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/124007965_357087248928242_710319265883749072_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=tsTV5npYa6cAX_tmtet&tp=18&oh=d1586548afa07431820734e3ca4b8daa&oe=5FD47950,"['Vertebrate', 'White', 'Black', 'Lion', 'Wildlife', 'Black-and-white', 'Snout', 'Eye', 'Mane', 'Terrestrial animal']"
6,https://www.instagram.com/p/CHWJBs9DeSL/,4715,455679,"Photo by @ismailferdous / Ali, an immigrant from Pakistan who lives on Long Island, came to Times Square with his family to celebrate the winners of the presidential election on November 7. Kamala Harris is the first female, first South Asian American, and first person of color to be elected vice president of the United States. Her mother, Shyamala Gopalan Harris, was an immigrant from India. Last night Vice President-elect Harris said, ""To the children of our country, regardless of your gender, our country has sent you a clear message: Dream with ambition, lead with conviction, and see yourselves in a way that others may not, simply because they’ve never seen it before, but know that we will applaud you every step of the way.""",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/124443125_119783459749880_3281400996383524823_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=KnRiheAuG78AX8f36gg&_nc_tp=15&oh=8590a2fb533d0df9f555fd8a1001a1aa&oe=5FD2BC0F,"['Wall', 'Event', 'Crowd', 'Advertising', 'Poster', 'Art', 'Street', 'City', 'Stage', 'World']"
7,https://www.instagram.com/p/CHWFH1dhZ_0/,336,135866,"Photo by @paoloverzone / Longyearbyen, Svalbard, Norway. This is from a day out to measure record ice loss on the Foxfonna glacier with Andy Hodson, glaciologist at @unisvalbard. Hodson says the ice cap suffered from the combination of the lowest snow accumulation we've observed (a consequence of a cold, dry winter), followed by the highest observed summer melt (not surprising, given the record temperatures this July). #svalbard #norway #foxfonna #glacier #glaciologist 
Follow @paoloverzone for more photos and stories.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123975653_774490090064308_1816301131920128345_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=LQ7hGbqbrG4AX-1JSoW&tp=18&oh=3509799496b92278a7a41f96dba4c64e&oe=5FD12AFB,"['Mountaineer', 'Mountainous landforms', 'Mountain', 'Snow', 'Ridge', 'Mountaineering', 'Winter', 'Adventure', 'Sky', 'Ski mountaineering']"
8,https://www.instagram.com/p/CHV3ywAgsns/,315,162854,"Photo by @noralorek / On the shore of Lake Victoria, a two-hour drive from Uganda's capital, Kampala, the roads turn into piers and bridges that take you to Lunkulu island, the home of Bayimba Festival. The festival of arts launched in 2008 in central Kampala, but two years ago Bayimba got its own space, free from the limits of the city. 

I've documented festivals all over the world for 12 years, and it’s been wonderful to see how much these cultural events and all of us have in common, no matter if on an island near the equator or at a farm near my home in Sweden. This year COVID-19 put all of it on hold—and the lack of art reminds us more than ever how much we need it.",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123885560_122121269686853_7422594030427718517_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=vuAgL-HUIU8AX9Tj2Ys&tp=18&oh=ffdf42011ca8a82f0294f4edd4d2ff28&oe=5FD1B598,"['Tree', 'Light', 'Lighting', 'Night', 'Sky', 'Woody plant', 'Plant', 'Architecture', 'Landscape', 'Evening']"
9,https://www.instagram.com/p/CHVca39r-lt/,1511,327739,"Photo by @irablockphoto / A stray dog sits in as Buddhist monks chant in a temple in Luangprabang, Laos. It is common to see dogs and cats around monasteries, where they are cared for and fed—as Buddha required followers to care for all living beings. In earlier times, dogs had another function at Buddhist monasteries: the Lhasa Apso breed was used to alert monks to any intruders. #luangprabang #monks #buddhism #laos #irablock",https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/123971175_143555937498066_5858724001062670878_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=1&_nc_ohc=PZnRR-dDRgwAX_pa6g6&tp=18&oh=7086b3b1d7dad558bf55803d0b24326d&oe=5FD12897,"['Monk', 'Wat', 'Place of worship', 'Temple', 'Temple', 'Ritual']"
